kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
100.0,6,rtn,,1,0.019801980198019802,3000,0.25806451612903225,0.0172382751444994,0.0172382751444994,False,1.2224531173706055,4.737005829811096,1.0,0,0.0,4,4.55
100.0,6,rtn,,2,0.019801980198019802,3000,0.25806451612903225,0.0172382751444994,0.0172382751444994,False,1.2224531173706055,4.737005829811096,1.0,0,0.0,4,4.52
100.0,6,sr,,0,0.019801980198019802,3000,0.25806451612903225,0.02509531779666676,0.019243688367321224,False,0.9636361598968506,3.734090119600296,0.69528,,0.0,4,5.07
100.0,6,sr,,1,0.019801980198019802,3000,0.25806451612903225,0.024563116633513706,0.019512992530632697,False,0.8416715860366821,3.2614773958921432,0.67632,,0.0,4,4.83
100.0,6,sr,,2,0.019801980198019802,3000,0.25806451612903225,0.024345740633172946,0.020224350172976184,False,0.9042118191719055,3.503820799291134,0.68568,,0.0,4,5.35
100.0,6,ef,,0,0.019801980198019802,3000,0.25806451612903225,0.051782963968290636,0.031612399521386475,False,0.37059348821640015,1.4360497668385506,0.45187,,0.0,4,5.76
100.0,6,ef,,1,0.019801980198019802,3000,0.25806451612903225,0.051782963968290636,0.031612399521386475,False,0.37059348821640015,1.4360497668385506,0.45187,,0.0,4,5.53
100.0,6,ef,,2,0.019801980198019802,3000,0.25806451612903225,0.051782963968290636,0.031612399521386475,False,0.37059348821640015,1.4360497668385506,0.45187,,0.0,4,5.54
100.0,4,rtn,,0,0.019801980198019802,3000,1.1428571428571428,0.1944781595106022,0.1944781595106022,False,2.322375774383545,2.032078802585602,1.0,0,0.0,4,4.52
100.0,4,rtn,,1,0.019801980198019802,3000,1.1428571428571428,0.1944781595106022,0.1944781595106022,False,2.322375774383545,2.032078802585602,1.0,0,0.0,4,4.54
