distribution,spec,kind,bits,granularity,scale_mode,nrmse
outlier_channels,int7|block64|dyadic/m4|nearest|absmax|ste=identity,int,7,block64,dyadic/m4,0.034486
outlier_channels,int6|tensor|float|nearest|absmax|ste=identity,int,6,tensor,float,0.345536
outlier_channels,int6|tensor|pow2/ceil|nearest|absmax|ste=identity,int,6,tensor,pow2/ceil,0.364326
outlier_channels,int6|tensor|pow2/round|nearest|absmax|ste=identity,int,6,tensor,pow2/round,0.333885
outlier_channels,int6|tensor|dyadic/m2|nearest|absmax|ste=identity,int,6,tensor,dyadic/m2,0.352505
outlier_channels,int6|tensor|dyadic/m4|nearest|absmax|ste=identity,int,6,tensor,dyadic/m4,0.345395
outlier_channels,int6|row|float|nearest|absmax|ste=identity,int,6,row,float,0.180617
outlier_channels,int6|row|pow2/ceil|nearest|absmax|ste=identity,int,6,row,pow2/ceil,0.244451
outlier_channels,int6|row|pow2/round|nearest|absmax|ste=identity,int,6,row,pow2/round,0.201444
outlier_channels,int6|row|dyadic/m2|nearest|absmax|ste=identity,int,6,row,dyadic/m2,0.18133
outlier_channels,int6|row|dyadic/m4|nearest|absmax|ste=identity,int,6,row,dyadic/m4,0.180484
outlier_channels,int6|block64|float|nearest|absmax|ste=identity,int,6,block64,float,0.067339
outlier_channels,int6|block64|pow2/ceil|nearest|absmax|ste=identity,int,6,block64,pow2/ceil,0.095162
outlier_channels,int6|block64|pow2/round|nearest|absmax|ste=identity,int,6,block64,pow2/round,0.133695
outlier_channels,int6|block64|dyadic/m2|nearest|absmax|ste=identity,int,6,block64,dyadic/m2,0.076156
outlier_channels,int6|block64|dyadic/m4|nearest|absmax|ste=identity,int,6,block64,dyadic/m4,0.068167
outlier_channels,int5|tensor|float|nearest|absmax|ste=identity,int,5,tensor,float,0.367123
outlier_channels,int5|tensor|pow2/ceil|nearest|absmax|ste=identity,int,5,tensor,pow2/ceil,0.385414
outlier_channels,int5|tensor|pow2/round|nearest|absmax|ste=identity,int,5,tensor,pow2/round,0.364578
outlier_channels,int5|tensor|dyadic/m2|nearest|absmax|ste=identity,int,5,tensor,dyadic/m2,0.368473
outlier_channels,int5|tensor|dyadic/m4|nearest|absmax|ste=identity,int,5,tensor,dyadic/m4,0.367519
outlier_channels,int5|row|float|nearest|absmax|ste=identity,int,5,row,float,0.303362
outlier_channels,int5|row|pow2/ceil|nearest|absmax|ste=identity,int,5,row,pow2/ceil,0.33952
outlier_channels,int5|row|pow2/round|nearest|absmax|ste=identity,int,5,row,pow2/round,0.31488
outlier_channels,int5|row|dyadic/m2|nearest|absmax|ste=identity,int,5,row,dyadic/m2,0.303231
outlier_channels,int5|row|dyadic/m4|nearest|absmax|ste=identity,int,5,row,dyadic/m4,0.303435
outlier_channels,int5|block64|float|nearest|absmax|ste=identity,int,5,block64,float,0.12413
outlier_channels,int5|block64|pow2/ceil|nearest|absmax|ste=identity,int,5,block64,pow2/ceil,0.155816
outlier_channels,int5|block64|pow2/round|nearest|absmax|ste=identity,int,5,block64,pow2/round,0.17066
outlier_channels,int5|block64|dyadic/m2|nearest|absmax|ste=identity,int,5,block64,dyadic/m2,0.129659
outlier_channels,int5|block64|dyadic/m4|nearest|absmax|ste=identity,int,5,block64,dyadic/m4,0.124746
outlier_channels,int4|tensor|float|nearest|absmax|ste=identity,int,4,tensor,float,0.400535
outlier_channels,int4|tensor|pow2/ceil|nearest|absmax|ste=identity,int,4,tensor,pow2/ceil,0.459679
outlier_channels,int4|tensor|pow2/round|nearest|absmax|ste=identity,int,4,tensor,pow2/round,0.385892
outlier_channels,int4|tensor|dyadic/m2|nearest|absmax|ste=identity,int,4,tensor,dyadic/m2,0.400684
outlier_channels,int4|tensor|dyadic/m4|nearest|absmax|ste=identity,int,4,tensor,dyadic/m4,0.400684
outlier_channels,int4|row|float|nearest|absmax|ste=identity,int,4,row,float,0.360888
outlier_channels,int4|row|pow2/ceil|nearest|absmax|ste=identity,int,4,row,pow2/ceil,0.372338
outlier_channels,int4|row|pow2/round|nearest|absmax|ste=identity,int,4,row,pow2/round,0.36886
outlier_channels,int4|row|dyadic/m2|nearest|absmax|ste=identity,int,4,row,dyadic/m2,0.36215
outlier_channels,int4|row|dyadic/m4|nearest|absmax|ste=identity,int,4,row,dyadic/m4,0.360931
outlier_channels,int4|block64|float|nearest|absmax|ste=identity,int,4,block64,float,0.182383
outlier_channels,int4|block64|pow2/ceil|nearest|absmax|ste=identity,int,4,block64,pow2/ceil,0.207968
outlier_channels,int4|block64|pow2/round|nearest|absmax|ste=identity,int,4,block64,pow2/round,0.218694
outlier_channels,int4|block64|dyadic/m2|nearest|absmax|ste=identity,int,4,block64,dyadic/m2,0.187937
outlier_channels,int4|block64|dyadic/m4|nearest|absmax|ste=identity,int,4,block64,dyadic/m4,0.182737
outlier_channels,int3|tensor|float|nearest|absmax|ste=identity,int,3,tensor,float,0.556469
outlier_channels,int3|tensor|pow2/ceil|nearest|absmax|ste=identity,int,3,tensor,pow2/ceil,0.684086
outlier_channels,int3|tensor|pow2/round|nearest|absmax|ste=identity,int,3,tensor,pow2/round,0.684086
outlier_channels,int3|tensor|dyadic/m2|nearest|absmax|ste=identity,int,3,tensor,dyadic/m2,0.566681
outlier_channels,int3|tensor|dyadic/m4|nearest|absmax|ste=identity,int,3,tensor,dyadic/m4,0.55221
outlier_channels,int3|row|float|nearest|absmax|ste=identity,int,3,row,float,0.388907
outlier_channels,int3|row|pow2/ceil|nearest|absmax|ste=identity,int,3,row,pow2/ceil,0.434938
outlier_channels,int3|row|pow2/round|nearest|absmax|ste=identity,int,3,row,pow2/round,0.406313
outlier_channels,int3|row|dyadic/m2|nearest|absmax|ste=identity,int,3,row,dyadic/m2,0.390807
outlier_channels,int3|row|dyadic/m4|nearest|absmax|ste=identity,int,3,row,dyadic/m4,0.38896
outlier_channels,int3|block64|float|nearest|absmax|ste=identity,int,3,block64,float,0.225973
outlier_channels,int3|block64|pow2/ceil|nearest|absmax|ste=identity,int,3,block64,pow2/ceil,0.282141
outlier_channels,int3|block64|pow2/round|nearest|absmax|ste=identity,int,3,block64,pow2/round,0.268741
outlier_channels,int3|block64|dyadic/m2|nearest|absmax|ste=identity,int,3,block64,dyadic/m2,0.230849
outlier_channels,int3|block64|dyadic/m4|nearest|absmax|ste=identity,int,3,block64,dyadic/m4,0.226353
outlier_channels,int2|tensor|float|nearest|absmax|ste=identity,int,2,tensor,float,0.971013
outlier_channels,int2|tensor|pow2/ceil|nearest|absmax|ste=identity,int,2,tensor,pow2/ceil,0.998526
outlier_channels,int2|tensor|pow2/round|nearest|absmax|ste=identity,int,2,tensor,pow2/round,0.954497
outlier_channels,int2|tensor|dyadic/m2|nearest|absmax|ste=identity,int,2,tensor,dyadic/m2,0.954497
outlier_channels,int2|tensor|dyadic/m4|nearest|absmax|ste=identity,int,2,tensor,dyadic/m4,0.966579
outlier_channels,int2|row|float|nearest|absmax|ste=identity,int,2,row,float,0.582138
outlier_channels,int2|row|pow2/ceil|nearest|absmax|ste=identity,int,2,row,pow2/ceil,0.796916
outlier_channels,int2|row|pow2/round|nearest|absmax|ste=identity,int,2,row,pow2/round,0.608977
outlier_channels,int2|row|dyadic/m2|nearest|absmax|ste=identity,int,2,row,dyadic/m2,0.581377
outlier_channels,int2|row|dyadic/m4|nearest|absmax|ste=identity,int,2,row,dyadic/m4,0.581683
outlier_channels,int2|block64|float|nearest|absmax|ste=identity,int,2,block64,float,0.321588
outlier_channels,int2|block64|pow2/ceil|nearest|absmax|ste=identity,int,2,block64,pow2/ceil,0.622588
outlier_channels,int2|block64|pow2/round|nearest|absmax|ste=identity,int,2,block64,pow2/round,0.369691
outlier_channels,int2|block64|dyadic/m2|nearest|absmax|ste=identity,int,2,block64,dyadic/m2,0.324064
outlier_channels,int2|block64|dyadic/m4|nearest|absmax|ste=identity,int,2,block64,dyadic/m4,0.321792
outlier_channels,ternary|tensor|float|nearest|absmean|ste=identity,ternary,1.58,tensor,float,0.92462
outlier_channels,ternary|tensor|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,tensor,pow2/ceil,0.92367
outlier_channels,ternary|row|float|nearest|absmean|ste=identity,ternary,1.58,row,float,0.924379
outlier_channels,ternary|row|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,row,pow2/ceil,0.91729
outlier_channels,ternary|block64|float|nearest|absmean|ste=identity,ternary,1.58,block64,float,0.91476
outlier_channels,ternary|block64|pow2/ceil|nearest|absmean|ste=identity,ternary,1.58,block64,pow2/ceil,0.900037
